Simulation Total Time;22973052
Total Number of Sensed Events by the WSN;259878
Number of Sensed Events by the WSN per Day
1;40558
2;40551
3;40620
4;40662
5;40540
6;20212
7;11913
8;11858
9;11295
10;1669
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node23;0;20981;27693;110459;27693;27693;1;6712;458372,516024
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node24;0;20814;27526;111936;27526;27526;1;6712;458290,750787
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node25;0;20636;27310;111523;27348;27310;1;6712;482230,2771
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node26;0;20758;27470;109384;27471;27470;0;6713;450761,553692
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node27;0;21018;27637;110820;27730;27637;0;6712;463648,376276
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node28;0;21327;28040;110242;28040;28040;1;6713;474431,499066
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node29;0;19777;26492;80898;26492;26492;1;6715;815356,326033
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node30;0;23733;30449;85889;30449;30449;1;6716;822492,622081
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node31;0;18073;24515;91685;24789;24515;0;6716;471999,729519
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node32;0;17917;24633;98522;24633;24633;1;6716;459763,35792
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node33;0;17694;24410;97608;24411;24410;0;6717;453470,859035
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node34;0;17630;24347;96563;24347;24347;0;6717;445201,772129
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node35;0;17461;24177;96554;24178;24177;0;6717;446263,031405
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node36;0;17846;24195;97377;24562;24195;1;6716;460176,409003
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node37;0;17828;24544;98391;24544;24544;1;6716;463942,045275
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node38;0;18043;24760;97523;24760;24760;1;6717;474857,055154
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node39;0;16609;23328;71464;23328;23328;1;6719;815785,108605
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node40;0;19503;26224;73816;26224;26224;1;6721;822324,590595
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node41;0;14855;21575;90792;21575;21575;1;6720;469949,296747
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node42;0;14734;21454;85641;21454;21454;1;6720;460275,516788
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node43;0;14439;21133;85242;21159;21133;1;6720;490152,565594
