Simulation Total Time;29049071
Total Number of Sensed Events by the WSN;259965
Number of Sensed Events by the WSN per Day
46;3268
47;3214
48;3249
49;3224
50;3261
51;3287
52;3238
53;3258
54;3290
55;3269
56;3255
57;3245
58;3275
59;3259
60;3248
61;3274
62;3234
63;3253
64;3243
65;3295
66;2621
67;1570
68;1077
69;1021
70;936
71;991
72;948
73;936
74;973
75;922
76;939
77;957
78;928
79;936
80;961
81;944
82;928
83;924
84;982
85;926
86;957
87;932
88;954
89;925
90;949
91;935
92;969
93;894
94;950
95;984
96;924
97;954
98;901
99;911
100;956
101;958
102;933
103;973
104;955
105;912
106;980
107;928
108;959
109;977
110;933
111;933
112;998
113;995
114;572
115;486
116;5
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;38127;41500;115653;44823;41500;1;6696;20145504,882828
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;69586;76246;183637;76247;76246;0;6661;10098404,076566
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;104663;110532;255185;111282;110532;0;6619;10158723,848732
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;141269;147854;141269;147854;147854;0;6585;9927715,554692
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;180537;187187;180538;0;0;1;6650;9945136,154622
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;161090;167737;161091;0;0;1;6647;9888098,079367
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;121896;128498;121896;128498;128498;0;6602;9769304,921291
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;84952;91065;220095;91588;91065;0;6636;9870724,919994
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;55004;60471;152454;61677;60471;0;6673;10158198,28578
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;26111;29874;90938;32816;29874;0;6705;19284500,23493
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;32701;39406;110264;39406;39406;1;6705;10543546,07899
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;24150;30854;137265;30855;30854;0;6705;5749339,439719
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;24382;31084;200993;31084;31084;1;6702;5962146,40793
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;24037;30737;239330;30737;30737;1;6700;5760018,208877
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;25984;32683;90678;32684;32683;0;6700;5663742,040093
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;25893;32592;90387;32593;32592;0;6700;5618809,233644
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node16;0;24129;30831;219993;30831;30831;1;6702;5799574,878293
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node17;0;24422;31126;162246;31126;31126;0;6704;5940396,431149
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node18;0;24285;30992;149851;30992;30992;1;6707;5793037,258916
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node19;0;22550;29260;87105;29261;29260;0;6711;10200547,9735
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node20;0;28380;35090;98030;35090;35090;1;6710;10544001,027686
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node21;0;21197;27815;103896;27909;27815;0;6712;5850999,50195
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node22;0;21407;28119;111598;28119;28119;1;6712;5960924,265168
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node23;0;20996;27708;111133;27708;27708;1;6712;5759795,352828
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node24;0;21005;27612;112466;27717;27612;0;6712;5693441,441692
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node25;0;21003;27628;112277;27715;27628;0;6712;5659066,166549
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node26;0;21064;27776;110994;27776;27776;1;6712;5762712,281468
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node27;0;21177;27888;111361;27889;27888;0;6712;5906991,727467
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node28;0;21074;27787;109560;27787;27787;0;6713;5792529,181079
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node29;0;19944;26092;80647;26657;26092;1;6713;11164875,310876
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node30;0;24000;30715;86196;30715;30715;1;6715;10544523,674867
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node31;0;18006;24722;105003;24722;24722;1;6716;5831086,15973
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node32;0;18181;24897;99078;24897;24897;1;6716;5961000,931744
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node33;0;17844;24560;98816;24560;24560;1;6716;5759958,656448
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node34;0;18119;24509;98437;24835;24509;0;6716;5834987,182813
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node35;0;17888;24543;98125;24604;24543;1;6716;5694173,158047
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node36;0;17843;24559;98400;24559;24559;1;6716;5741230,258109
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node37;0;17985;24672;98661;24701;24672;0;6716;5974401,827476
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node38;0;17959;24676;97548;24676;24676;1;6717;5760101,028534
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node39;0;16881;23599;71766;23599;23599;0;6718;10395650,947759
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node40;0;19663;26384;74246;26384;26384;1;6721;10543157,741076
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node41;0;14762;21482;91154;21482;21482;1;6720;5831063,245461
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node42;0;14957;21677;86253;21677;21677;1;6720;5961273,385146
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node43;0;14656;21376;86055;21376;21376;1;6720;5759649,856772
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node44;0;14963;21556;86046;21683;21556;0;6720;6011547,725792
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node45;0;14730;21395;85603;21450;21395;0;6720;5783986,988634
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node46;0;14599;21319;85625;21319;21319;1;6720;5741076,237961
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node47;0;14836;21537;85870;21556;21537;0;6720;6017018,57722
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node48;0;14740;21461;84919;21461;21461;1;6721;5760102,608324
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node49;0;13786;20442;62429;20508;20442;1;6722;10454549,451498
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node50;0;15323;22049;62423;22049;22049;1;6726;10543737,844997
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node51;0;11646;18371;68565;18371;18371;1;6725;5830094,968365
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node52;0;11774;18498;73372;18498;18498;1;6724;5961515,25693
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node53;0;11411;18135;73267;18135;18135;1;6724;5754946,72007
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node54;0;11661;18385;73277;18385;18385;1;6724;6001739,315979
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node55;0;11518;18242;72875;18242;18242;1;6724;5737379,104782
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node56;0;11336;18060;72823;18060;18060;1;6724;5667207,40832
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node57;0;11688;18389;72958;18412;18389;0;6724;6393185,58819
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node58;0;11454;18179;72347;18179;18179;1;6725;5760015,847362
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node59;0;10720;17369;52944;17446;17369;0;6726;10678498,195417
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node60;0;10937;17668;50457;17668;17668;1;6731;11385462,964684
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node61;0;8415;15144;63124;15144;15144;1;6729;5830684,957264
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node62;0;8461;15189;60674;15189;15189;0;6728;6172694,1224
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node63;0;8279;15007;59749;15008;15007;0;6729;5684812,854643
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node64;0;8489;15217;60325;15217;15217;1;6728;6002257,443366
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node65;0;8251;14980;60002;14980;14980;1;6729;5781941,260874
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node66;0;8121;14849;59643;14850;14849;0;6729;5649699,692494
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node67;0;8435;15163;60267;15163;15163;1;6728;6076535,446846
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node68;0;8299;15028;59417;15028;15028;1;6729;5760481,771201
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node69;0;7572;14257;43653;14302;14257;1;6730;10803894,72617
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node70;0;6527;13263;38522;13264;13263;0;6737;10548286,355359
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node71;0;5163;11896;49054;11896;11896;1;6733;5704521,124239
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node72;0;5291;12023;47833;12024;12023;0;6733;5961629,704065
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node73;0;5215;11713;47630;11947;11713;1;6732;5902054,060016
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node74;0;5220;11952;47697;11952;11952;0;6732;6609395,32387
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node75;0;5066;11798;47144;11799;11798;0;6733;5737194,411605
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node76;0;5063;11665;47216;11795;11665;0;6732;5961229,534399
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node77;0;5244;11977;47526;11977;11977;0;6733;6075939,38889
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node78;0;5040;11773;41337;11773;11773;0;6733;5951220,887722
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node79;0;4512;11179;34172;11246;11179;0;6734;11009894,155229
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node80;0;2411;8958;26039;9153;8958;1;6742;11003780,548211
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node81;0;1881;8622;29529;8622;8622;0;6741;5703485,466251
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node82;0;2124;8801;33570;8864;8801;1;6740;6063320,403482
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node83;0;2061;8747;33571;8801;8747;0;6740;6003009,537294
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node84;0;1994;8733;33560;8734;8733;0;6740;6001859,513585
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node85;0;1958;8623;32990;8698;8623;0;6740;5918379,143854
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node86;0;2008;8641;33263;8748;8641;0;6740;6096612,717108
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node87;0;2139;8796;33529;8879;8796;1;6740;6186182,172651
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node88;0;1925;8665;28626;8666;8665;0;6741;5750393,871163
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node89;0;1451;8097;24047;8192;8097;0;6741;11261374,992766
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node90;0;0;4153;15893;6744;4153;0;6744;18198174,461552
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node91;0;0;3877;19368;6740;3877;0;6740;10646841,357455
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node92;0;0;4123;22345;6741;4123;1;6741;10553826,951946
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node93;0;0;4065;22283;6741;4065;0;6741;10487633,997209
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node94;0;0;4109;22216;6741;4109;1;6741;10201678,221846
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node95;0;0;3897;22146;6741;3897;1;6741;10112175,490206
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node96;0;0;3963;22230;6741;3963;0;6741;10550357,768017
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node97;0;0;4138;22360;6741;4138;0;6741;10497282,17756
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node98;0;0;3870;19358;6740;3870;0;6740;10744621,789346
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node99;0;0;4135;14932;6743;4135;0;6743;19234416,117601
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1248680;0
Simulation Total Time;26634907
Total Number of Sensed Events by the WSN;261272
Number of Sensed Events by the WSN per Day
1;3264
2;3255
3;3209
4;3238
5;3246
6;3227
7;3210
8;3241
9;3256
10;3238
11;3267
12;3253
13;3300
14;3302
15;3225
16;3177
17;3241
18;3287
